x,y70,y60,y50,y40,y30,y20,y10
0,-5.88E-06,-5.81E-06,-5.72E-06,-5.54E-06,-5.15E-06,-3.51E-06,-1.93E-06
4.88E-03,-5.07E-06,-5.01E-06,-4.93E-06,-4.77E-06,-4.43E-06,-2.97E-06,-1.59E-06
9.77E-03,-4.41E-06,-4.35E-06,-4.28E-06,-4.13E-06,-3.84E-06,-2.53E-06,-1.32E-06
1.46E-02,-3.83E-06,-3.77E-06,-3.71E-06,-3.58E-06,-3.32E-06,-2.15E-06,-1.10E-06
1.95E-02,-3.32E-06,-3.26E-06,-3.21E-06,-3.09E-06,-2.86E-06,-1.83E-06,-9.17E-07
2.44E-02,-2.85E-06,-2.80E-06,-2.75E-06,-2.64E-06,-2.44E-06,-1.54E-06,-7.61E-07
2.93E-02,-2.42E-06,-2.37E-06,-2.33E-06,-2.23E-06,-2.06E-06,-1.29E-06,-6.27E-07
3.42E-02,-2.03E-06,-1.98E-06,-1.94E-06,-1.85E-06,-1.71E-06,-1.05E-06,-5.09E-07
0.0390625,-1.66E-06,-1.61E-06,-1.57E-06,-1.50E-06,-1.38E-06,-8.42E-07,-4.06E-07
4.39E-02,-1.32E-06,-1.27E-06,-1.24E-06,-1.17E-06,-1.07E-06,-6.50E-07,-3.15E-07
4.88E-02,-1.01E-06,-9.65E-07,-9.31E-07,-8.72E-07,-7.93E-07,-4.76E-07,-2.36E-07
5.37E-02,-7.28E-07,-6.85E-07,-6.53E-07,-6.00E-07,-5.40E-07,-3.18E-07,-1.67E-07
5.86E-02,-4.77E-07,-4.36E-07,-4.05E-07,-3.57E-07,-3.14E-07,-1.77E-07,-1.03E-07
6.35E-02,-2.56E-07,-2.18E-07,-1.87E-07,-1.46E-07,-1.14E-07,-5.07E-08,-4.69E-08
6.84E-02,-6.75E-08,-3.22E-08,-2.19E-09,3.32E-08,5.66E-08,5.84E-08,1.58E-09
7.32E-02,9.04E-08,1.22E-07,1.51E-07,1.83E-07,2.00E-07,1.53E-07,4.59E-08
0.078125,2.19E-07,2.48E-07,2.75E-07,3.04E-07,3.16E-07,2.31E-07,8.49E-08
8.30E-02,3.24E-07,3.48E-07,3.73E-07,3.97E-07,4.07E-07,2.96E-07,1.20E-07
8.79E-02,4.09E-07,4.29E-07,4.50E-07,4.70E-07,4.77E-07,3.50E-07,1.52E-07
9.28E-02,4.81E-07,4.96E-07,5.10E-07,5.25E-07,5.29E-07,3.92E-07,1.77E-07
9.77E-02,5.50E-07,5.60E-07,5.66E-07,5.72E-07,5.69E-07,4.25E-07,2.03E-07
0.1025391,6.27E-07,6.29E-07,6.23E-07,6.18E-07,6.05E-07,4.52E-07,2.27E-07
0.1074219,7.19E-07,7.11E-07,6.90E-07,6.70E-07,6.43E-07,4.76E-07,2.51E-07
0.1123047,8.32E-07,8.15E-07,7.76E-07,7.36E-07,6.89E-07,5.00E-07,2.75E-07
0.1171875,9.71E-07,9.41E-07,8.83E-07,8.21E-07,7.49E-07,5.26E-07,2.99E-07
0.1220703,1.13E-06,1.09E-06,1.01E-06,9.27E-07,8.26E-07,5.58E-07,3.24E-07
0.1269531,1.31E-06,1.25E-06,1.16E-06,1.05E-06,9.18E-07,5.97E-07,3.49E-07
0.1318359,1.49E-06,1.42E-06,1.32E-06,1.18E-06,1.02E-06,6.43E-07,3.77E-07
0.1367188,1.65E-06,1.58E-06,1.47E-06,1.31E-06,1.13E-06,6.95E-07,4.08E-07
0.1416016,1.79E-06,1.71E-06,1.59E-06,1.43E-06,1.24E-06,7.51E-07,4.41E-07
0.1464844,1.88E-06,1.79E-06,1.68E-06,1.52E-06,1.32E-06,8.02E-07,4.75E-07
0.1513672,1.91E-06,1.82E-06,1.72E-06,1.56E-06,1.38E-06,8.44E-07,5.07E-07
0.15625,1.87E-06,1.79E-06,1.71E-06,1.56E-06,1.39E-06,8.71E-07,5.37E-07
0.1611328,1.77E-06,1.70E-06,1.64E-06,1.51E-06,1.37E-06,8.82E-07,5.63E-07
0.1660156,1.62E-06,1.57E-06,1.52E-06,1.41E-06,1.30E-06,8.72E-07,5.82E-07
0.1708984,1.45E-06,1.40E-06,1.37E-06,1.29E-06,1.21E-06,8.46E-07,5.93E-07
0.1757813,1.26E-06,1.22E-06,1.20E-06,1.15E-06,1.10E-06,8.06E-07,5.97E-07
0.1806641,1.08E-06,1.05E-06,1.04E-06,1.01E-06,9.80E-07,7.57E-07,5.94E-07
0.1855469,9.27E-07,9.06E-07,9.00E-07,8.75E-07,8.67E-07,7.03E-07,5.83E-07
0.1904297,8.02E-07,7.83E-07,7.80E-07,7.63E-07,7.65E-07,6.48E-07,5.67E-07
0.1953125,7.05E-07,6.87E-07,6.84E-07,6.73E-07,6.77E-07,5.97E-07,5.45E-07
0.2001953,6.32E-07,6.17E-07,6.10E-07,6.00E-07,6.07E-07,5.52E-07,5.22E-07
0.2050781,5.83E-07,5.65E-07,5.57E-07,5.47E-07,5.51E-07,5.12E-07,4.98E-07
0.2099609,5.47E-07,5.29E-07,5.18E-07,5.07E-07,5.08E-07,4.80E-07,4.74E-07
0.2148438,5.24E-07,5.03E-07,4.91E-07,4.77E-07,4.75E-07,4.53E-07,4.51E-07
0.2197266,5.07E-07,4.86E-07,4.70E-07,4.56E-07,4.48E-07,4.31E-07,4.30E-07
0.2246094,4.97E-07,4.74E-07,4.56E-07,4.38E-07,4.28E-07,4.13E-07,4.11E-07
0.2294922,4.91E-07,4.66E-07,4.46E-07,4.27E-07,4.13E-07,3.98E-07,3.94E-07
0.234375,4.88E-07,4.61E-07,4.39E-07,4.17E-07,4.01E-07,3.86E-07,3.79E-07
0.2392578,4.88E-07,4.60E-07,4.35E-07,4.12E-07,3.91E-07,3.76E-07,3.67E-07
0.2441406,4.91E-07,4.60E-07,4.34E-07,4.08E-07,3.85E-07,3.68E-07,3.56E-07
0.2490234,4.95E-07,4.63E-07,4.34E-07,4.06E-07,3.79E-07,3.62E-07,3.47E-07
0.2539063,5.00E-07,4.67E-07,4.35E-07,4.06E-07,3.76E-07,3.57E-07,3.38E-07
0.2587891,5.09E-07,4.73E-07,4.39E-07,4.07E-07,3.73E-07,3.52E-07,3.30E-07
0.2636719,5.17E-07,4.79E-07,4.43E-07,4.09E-07,3.72E-07,3.49E-07,3.24E-07
0.2685547,5.27E-07,4.87E-07,4.49E-07,4.13E-07,3.72E-07,3.46E-07,3.19E-07
0.2734375,5.39E-07,4.97E-07,4.56E-07,4.17E-07,3.74E-07,3.45E-07,3.15E-07
0.2783203,5.52E-07,5.07E-07,4.65E-07,4.23E-07,3.76E-07,3.44E-07,3.12E-07
0.2832031,5.67E-07,5.20E-07,4.73E-07,4.30E-07,3.79E-07,3.44E-07,3.09E-07
0.2880859,5.83E-07,5.33E-07,4.84E-07,4.37E-07,3.83E-07,3.45E-07,3.06E-07
0.2929688,6.01E-07,5.47E-07,4.96E-07,4.46E-07,3.88E-07,3.45E-07,3.04E-07
0.2978516,6.21E-07,5.64E-07,5.09E-07,4.54E-07,3.93E-07,3.48E-07,3.04E-07
0.3027344,6.40E-07,5.80E-07,5.23E-07,4.66E-07,4.00E-07,3.51E-07,3.03E-07
0.3076172,6.61E-07,5.98E-07,5.37E-07,4.77E-07,4.07E-07,3.53E-07,3.02E-07
0.3125,6.84E-07,6.18E-07,5.53E-07,4.89E-07,4.15E-07,3.56E-07,3.01E-07
0.3173828,7.07E-07,6.38E-07,5.69E-07,5.02E-07,4.23E-07,3.60E-07,3.01E-07
0.3222656,7.33E-07,6.59E-07,5.86E-07,5.16E-07,4.33E-07,3.64E-07,3.01E-07
0.3271484,7.60E-07,6.82E-07,6.05E-07,5.31E-07,4.43E-07,3.69E-07,3.03E-07
0.3320313,7.86E-07,7.05E-07,6.25E-07,5.46E-07,4.53E-07,3.75E-07,3.03E-07
0.3369141,8.16E-07,7.29E-07,6.45E-07,5.61E-07,4.64E-07,3.80E-07,3.05E-07
0.3417969,8.44E-07,7.54E-07,6.65E-07,5.78E-07,4.75E-07,3.86E-07,3.06E-07
0.3466797,8.74E-07,7.79E-07,6.87E-07,5.95E-07,4.87E-07,3.92E-07,3.07E-07
0.3515625,9.05E-07,8.05E-07,7.09E-07,6.13E-07,5.00E-07,3.99E-07,3.10E-07
0.3564453,9.36E-07,8.32E-07,7.30E-07,6.30E-07,5.13E-07,4.05E-07,3.13E-07
0.3613281,9.66E-07,8.58E-07,7.52E-07,6.47E-07,5.25E-07,4.12E-07,3.16E-07
0.3662109,9.97E-07,8.85E-07,7.74E-07,6.66E-07,5.37E-07,4.20E-07,3.18E-07
0.3710938,1.03E-06,9.10E-07,7.96E-07,6.82E-07,5.50E-07,4.25E-07,3.21E-07
0.3759766,1.06E-06,9.36E-07,8.16E-07,6.99E-07,5.62E-07,4.32E-07,3.24E-07
0.3808594,1.09E-06,9.61E-07,8.36E-07,7.16E-07,5.74E-07,4.37E-07,3.27E-07
0.3857422,1.12E-06,9.85E-07,8.56E-07,7.32E-07,5.86E-07,4.43E-07,3.29E-07
0.390625,1.14E-06,1.01E-06,8.76E-07,7.46E-07,5.96E-07,4.48E-07,3.32E-07
0.3955078,1.17E-06,1.03E-06,8.93E-07,7.61E-07,6.07E-07,4.53E-07,3.34E-07
0.4003906,1.20E-06,1.05E-06,9.11E-07,7.75E-07,6.16E-07,4.57E-07,3.36E-07
0.4052734,1.22E-06,1.08E-06,9.28E-07,7.88E-07,6.25E-07,4.60E-07,3.37E-07
0.4101563,1.25E-06,1.10E-06,9.45E-07,8.01E-07,6.34E-07,4.62E-07,3.38E-07
0.4150391,1.28E-06,1.12E-06,9.62E-07,8.14E-07,6.41E-07,4.66E-07,3.39E-07
0.4199219,1.30E-06,1.14E-06,9.78E-07,8.26E-07,6.50E-07,4.67E-07,3.40E-07
0.4248047,1.33E-06,1.16E-06,9.96E-07,8.40E-07,6.58E-07,4.71E-07,3.40E-07
0.4296875,1.36E-06,1.19E-06,1.02E-06,8.54E-07,6.67E-07,4.73E-07,3.40E-07
0.4345703,1.39E-06,1.21E-06,1.04E-06,8.70E-07,6.77E-07,4.77E-07,3.40E-07
0.4394531,1.43E-06,1.24E-06,1.06E-06,8.88E-07,6.87E-07,4.80E-07,3.40E-07
0.4443359,1.47E-06,1.28E-06,1.09E-06,9.09E-07,7.02E-07,4.86E-07,3.40E-07
0.4492188,1.51E-06,1.31E-06,1.12E-06,9.36E-07,7.18E-07,4.93E-07,3.41E-07
0.4541016,1.57E-06,1.36E-06,1.16E-06,9.67E-07,7.40E-07,5.04E-07,3.45E-07
0.4589844,1.62E-06,1.41E-06,1.20E-06,1.00E-06,7.64E-07,5.14E-07,3.47E-07
0.4638672,1.69E-06,1.47E-06,1.25E-06,1.04E-06,7.93E-07,5.27E-07,3.50E-07
0.46875,1.76E-06,1.53E-06,1.30E-06,1.09E-06,8.26E-07,5.41E-07,3.53E-07
0.4736328,1.83E-06,1.60E-06,1.37E-06,1.14E-06,8.65E-07,5.60E-07,3.59E-07
0.4785156,1.92E-06,1.67E-06,1.43E-06,1.20E-06,9.08E-07,5.82E-07,3.64E-07
0.4833984,2.00E-06,1.75E-06,1.51E-06,1.26E-06,9.56E-07,6.06E-07,3.72E-07
0.4882813,2.10E-06,1.84E-06,1.58E-06,1.32E-06,1.01E-06,6.34E-07,3.82E-07
0.4931641,2.19E-06,1.93E-06,1.66E-06,1.40E-06,1.07E-06,6.64E-07,3.94E-07
0.4980469,2.28E-06,2.01E-06,1.75E-06,1.47E-06,1.13E-06,6.98E-07,4.06E-07
0.5029297,2.37E-06,2.10E-06,1.83E-06,1.54E-06,1.19E-06,7.35E-07,4.21E-07
0.5078125,2.46E-06,2.18E-06,1.90E-06,1.61E-06,1.25E-06,7.74E-07,4.37E-07
0.5126953,2.54E-06,2.26E-06,1.98E-06,1.69E-06,1.31E-06,8.16E-07,4.56E-07
0.5175781,2.62E-06,2.33E-06,2.05E-06,1.76E-06,1.38E-06,8.59E-07,4.76E-07
0.5224609,2.69E-06,2.41E-06,2.12E-06,1.82E-06,1.44E-06,9.04E-07,4.98E-07
0.5273438,2.75E-06,2.47E-06,2.19E-06,1.89E-06,1.51E-06,9.52E-07,5.22E-07
0.5322266,2.81E-06,2.53E-06,2.25E-06,1.96E-06,1.57E-06,1.00E-06,5.48E-07
0.5371094,2.87E-06,2.60E-06,2.32E-06,2.02E-06,1.64E-06,1.05E-06,5.77E-07
0.5419922,2.93E-06,2.65E-06,2.38E-06,2.09E-06,1.70E-06,1.11E-06,6.08E-07
0.546875,2.98E-06,2.71E-06,2.44E-06,2.15E-06,1.76E-06,1.16E-06,6.40E-07
0.5517578,3.03E-06,2.76E-06,2.50E-06,2.22E-06,1.83E-06,1.22E-06,6.75E-07
0.5566406,3.07E-06,2.82E-06,2.55E-06,2.28E-06,1.89E-06,1.28E-06,7.12E-07
0.5615234,3.11E-06,2.86E-06,2.61E-06,2.34E-06,1.95E-06,1.33E-06,7.51E-07
0.5664063,3.15E-06,2.91E-06,2.66E-06,2.39E-06,2.01E-06,1.39E-06,7.90E-07
0.5712891,3.18E-06,2.95E-06,2.71E-06,2.44E-06,2.07E-06,1.45E-06,8.30E-07
0.5761719,3.21E-06,2.98E-06,2.75E-06,2.49E-06,2.12E-06,1.50E-06,8.72E-07
0.5810547,3.23E-06,3.01E-06,2.79E-06,2.54E-06,2.17E-06,1.56E-06,9.13E-07
0.5859375,3.25E-06,3.03E-06,2.82E-06,2.58E-06,2.22E-06,1.61E-06,9.56E-07
0.5908203,3.25E-06,3.05E-06,2.84E-06,2.61E-06,2.26E-06,1.66E-06,9.98E-07
0.5957031,3.25E-06,3.06E-06,2.86E-06,2.63E-06,2.29E-06,1.70E-06,1.04E-06
0.6005859,3.24E-06,3.05E-06,2.86E-06,2.65E-06,2.32E-06,1.75E-06,1.08E-06
0.6054688,3.23E-06,3.05E-06,2.87E-06,2.66E-06,2.34E-06,1.78E-06,1.12E-06
0.6103516,3.20E-06,3.03E-06,2.86E-06,2.66E-06,2.35E-06,1.82E-06,1.16E-06
0.6152344,3.16E-06,3.00E-06,2.84E-06,2.65E-06,2.36E-06,1.85E-06,1.19E-06
0.6201172,3.12E-06,2.97E-06,2.82E-06,2.64E-06,2.36E-06,1.87E-06,1.23E-06
0.625,3.08E-06,2.93E-06,2.78E-06,2.61E-06,2.35E-06,1.89E-06,1.26E-06
0.6298828,3.02E-06,2.88E-06,2.74E-06,2.58E-06,2.33E-06,1.90E-06,1.29E-06
0.6347656,2.96E-06,2.82E-06,2.70E-06,2.54E-06,2.31E-06,1.91E-06,1.31E-06
0.6396484,2.88E-06,2.76E-06,2.64E-06,2.50E-06,2.28E-06,1.91E-06,1.34E-06
0.6445313,2.81E-06,2.69E-06,2.58E-06,2.45E-06,2.25E-06,1.91E-06,1.36E-06
0.6494141,2.73E-06,2.62E-06,2.51E-06,2.39E-06,2.21E-06,1.90E-06,1.37E-06
0.6542969,2.64E-06,2.54E-06,2.44E-06,2.33E-06,2.16E-06,1.88E-06,1.39E-06
