x,y70,y60,y50,y40,y30,y20,y10
0.6591797,2.55E-06,2.46E-06,2.37E-06,2.27E-06,2.12E-06,1.87E-06,1.40E-06
0.6640625,2.46E-06,2.38E-06,2.30E-06,2.20E-06,2.07E-06,1.85E-06,1.41E-06
0.6689453,2.37E-06,2.29E-06,2.22E-06,2.13E-06,2.01E-06,1.82E-06,1.41E-06
0.6738281,2.28E-06,2.21E-06,2.14E-06,2.06E-06,1.96E-06,1.80E-06,1.41E-06
0.6787109,2.19E-06,2.12E-06,2.06E-06,1.99E-06,1.90E-06,1.77E-06,1.41E-06
0.6835938,2.09E-06,2.03E-06,1.98E-06,1.92E-06,1.84E-06,1.73E-06,1.40E-06
0.6884766,2.00E-06,1.95E-06,1.90E-06,1.85E-06,1.78E-06,1.69E-06,1.39E-06
0.6933594,1.91E-06,1.86E-06,1.82E-06,1.78E-06,1.72E-06,1.65E-06,1.37E-06
0.6982422,1.82E-06,1.77E-06,1.74E-06,1.70E-06,1.66E-06,1.60E-06,1.35E-06
0.703125,1.72E-06,1.68E-06,1.65E-06,1.62E-06,1.59E-06,1.55E-06,1.32E-06
0.7080078,1.61E-06,1.58E-06,1.56E-06,1.54E-06,1.51E-06,1.49E-06,1.28E-06
0.7128906,1.50E-06,1.48E-06,1.46E-06,1.44E-06,1.43E-06,1.41E-06,1.23E-06
0.7177734,1.38E-06,1.36E-06,1.35E-06,1.34E-06,1.33E-06,1.33E-06,1.17E-06
0.7226563,1.25E-06,1.24E-06,1.23E-06,1.23E-06,1.23E-06,1.23E-06,1.10E-06
0.7275391,1.11E-06,1.10E-06,1.10E-06,1.10E-06,1.11E-06,1.13E-06,1.02E-06
0.7324219,9.56E-07,9.47E-07,9.48E-07,9.57E-07,9.78E-07,1.00E-06,9.25E-07
0.7373047,7.82E-07,7.78E-07,7.83E-07,7.99E-07,8.30E-07,8.63E-07,8.12E-07
0.7421875,5.94E-07,5.93E-07,6.04E-07,6.25E-07,6.66E-07,7.08E-07,6.85E-07
0.7470703,3.90E-07,3.94E-07,4.08E-07,4.36E-07,4.85E-07,5.37E-07,5.41E-07
0.7519531,1.69E-07,1.77E-07,1.96E-07,2.31E-07,2.89E-07,3.50E-07,3.83E-07
0.7568359,-6.27E-08,-5.07E-08,-2.81E-08,1.21E-08,8.00E-08,1.51E-07,2.09E-07
0.7617188,-3.09E-07,-2.95E-07,-2.68E-07,-2.21E-07,-1.45E-07,-6.52E-08,2.02E-08
0.7666016,-5.65E-07,-5.48E-07,-5.17E-07,-4.64E-07,-3.79E-07,-2.92E-07,-1.81E-07
0.7714844,-8.27E-07,-8.05E-07,-7.72E-07,-7.13E-07,-6.21E-07,-5.26E-07,-3.92E-07
0.7763672,-1.09E-06,-1.07E-06,-1.03E-06,-9.66E-07,-8.67E-07,-7.65E-07,-6.08E-07
0.78125,-1.36E-06,-1.33E-06,-1.29E-06,-1.22E-06,-1.11E-06,-1.01E-06,-8.30E-07
0.7861328,-1.62E-06,-1.59E-06,-1.54E-06,-1.47E-06,-1.36E-06,-1.25E-06,-1.05E-06
0.7910156,-1.87E-06,-1.84E-06,-1.79E-06,-1.72E-06,-1.60E-06,-1.49E-06,-1.27E-06
0.7958984,-2.11E-06,-2.08E-06,-2.03E-06,-1.95E-06,-1.83E-06,-1.72E-06,-1.49E-06
0.8007813,-2.34E-06,-2.30E-06,-2.25E-06,-2.17E-06,-2.05E-06,-1.93E-06,-1.69E-06
0.8056641,-2.55E-06,-2.51E-06,-2.46E-06,-2.37E-06,-2.25E-06,-2.13E-06,-1.88E-06
0.8105469,-2.73E-06,-2.69E-06,-2.64E-06,-2.55E-06,-2.43E-06,-2.31E-06,-2.05E-06
0.8154297,-2.90E-06,-2.86E-06,-2.80E-06,-2.71E-06,-2.58E-06,-2.47E-06,-2.20E-06
0.8203125,-3.04E-06,-2.99E-06,-2.94E-06,-2.85E-06,-2.72E-06,-2.61E-06,-2.33E-06
0.8251953,-3.15E-06,-3.10E-06,-3.05E-06,-2.96E-06,-2.83E-06,-2.72E-06,-2.43E-06
0.8300781,-3.23E-06,-3.19E-06,-3.13E-06,-3.04E-06,-2.91E-06,-2.80E-06,-2.51E-06
0.8349609,-3.29E-06,-3.24E-06,-3.19E-06,-3.10E-06,-2.97E-06,-2.86E-06,-2.57E-06
0.8398438,-3.32E-06,-3.28E-06,-3.22E-06,-3.13E-06,-3.00E-06,-2.89E-06,-2.60E-06
0.8447266,-3.33E-06,-3.29E-06,-3.23E-06,-3.14E-06,-3.01E-06,-2.90E-06,-2.61E-06
0.8496094,-3.32E-06,-3.27E-06,-3.21E-06,-3.13E-06,-3.00E-06,-2.89E-06,-2.61E-06
0.8544922,-3.28E-06,-3.24E-06,-3.18E-06,-3.09E-06,-2.97E-06,-2.86E-06,-2.58E-06
0.859375,-3.23E-06,-3.19E-06,-3.13E-06,-3.05E-06,-2.92E-06,-2.82E-06,-2.53E-06
0.8642578,-3.17E-06,-3.12E-06,-3.07E-06,-2.98E-06,-2.86E-06,-2.76E-06,-2.48E-06
0.8691406,-3.09E-06,-3.05E-06,-2.99E-06,-2.91E-06,-2.79E-06,-2.68E-06,-2.41E-06
0.8740234,-3.00E-06,-2.96E-06,-2.91E-06,-2.83E-06,-2.71E-06,-2.61E-06,-2.34E-06
0.8789063,-2.91E-06,-2.87E-06,-2.82E-06,-2.74E-06,-2.62E-06,-2.52E-06,-2.25E-06
0.8837891,-2.81E-06,-2.77E-06,-2.72E-06,-2.65E-06,-2.54E-06,-2.43E-06,-2.17E-06
0.8886719,-2.71E-06,-2.67E-06,-2.63E-06,-2.55E-06,-2.44E-06,-2.34E-06,-2.09E-06
0.8935547,-2.60E-06,-2.57E-06,-2.53E-06,-2.46E-06,-2.35E-06,-2.25E-06,-2.00E-06
0.8984375,-2.50E-06,-2.47E-06,-2.43E-06,-2.37E-06,-2.26E-06,-2.16E-06,-1.92E-06
0.9033203,-2.40E-06,-2.37E-06,-2.34E-06,-2.27E-06,-2.17E-06,-2.07E-06,-1.84E-06
0.9082031,-2.29E-06,-2.27E-06,-2.24E-06,-2.18E-06,-2.09E-06,-1.99E-06,-1.75E-06
0.9130859,-2.19E-06,-2.17E-06,-2.14E-06,-2.09E-06,-2.00E-06,-1.90E-06,-1.68E-06
0.9179688,-2.09E-06,-2.08E-06,-2.05E-06,-2.01E-06,-1.92E-06,-1.82E-06,-1.60E-06
0.9228516,-1.99E-06,-1.99E-06,-1.97E-06,-1.93E-06,-1.84E-06,-1.75E-06,-1.53E-06
0.9277344,-1.90E-06,-1.90E-06,-1.88E-06,-1.85E-06,-1.77E-06,-1.68E-06,-1.47E-06
0.9326172,-1.80E-06,-1.81E-06,-1.80E-06,-1.77E-06,-1.70E-06,-1.60E-06,-1.40E-06
0.9375,-1.71E-06,-1.72E-06,-1.72E-06,-1.69E-06,-1.63E-06,-1.54E-06,-1.34E-06
0.9423828,-1.62E-06,-1.63E-06,-1.64E-06,-1.62E-06,-1.56E-06,-1.47E-06,-1.28E-06
0.9472656,-1.52E-06,-1.55E-06,-1.56E-06,-1.55E-06,-1.50E-06,-1.41E-06,-1.23E-06
0.9521484,-1.43E-06,-1.46E-06,-1.48E-06,-1.48E-06,-1.43E-06,-1.35E-06,-1.17E-06
0.9570313,-1.34E-06,-1.38E-06,-1.41E-06,-1.41E-06,-1.37E-06,-1.29E-06,-1.12E-06
0.9619141,-1.25E-06,-1.30E-06,-1.33E-06,-1.34E-06,-1.31E-06,-1.23E-06,-1.08E-06
0.9667969,-1.16E-06,-1.22E-06,-1.26E-06,-1.28E-06,-1.26E-06,-1.18E-06,-1.03E-06
0.9716797,-1.07E-06,-1.14E-06,-1.18E-06,-1.21E-06,-1.20E-06,-1.13E-06,-9.87E-07
0.9765625,-9.83E-07,-1.05E-06,-1.11E-06,-1.15E-06,-1.15E-06,-1.08E-06,-9.44E-07
0.9814453,-8.94E-07,-9.73E-07,-1.04E-06,-1.09E-06,-1.09E-06,-1.03E-06,-9.04E-07
0.9863281,-8.05E-07,-8.93E-07,-9.68E-07,-1.03E-06,-1.04E-06,-9.78E-07,-8.66E-07
0.9912109,-7.15E-07,-8.12E-07,-8.97E-07,-9.65E-07,-9.88E-07,-9.30E-07,-8.28E-07
0.9960938,-6.24E-07,-7.31E-07,-8.26E-07,-9.05E-07,-9.37E-07,-8.84E-07,-7.92E-07
1.000977,-5.34E-07,-6.50E-07,-7.54E-07,-8.44E-07,-8.86E-07,-8.39E-07,-7.57E-07
1.005859,-4.45E-07,-5.70E-07,-6.84E-07,-7.84E-07,-8.36E-07,-7.94E-07,-7.23E-07
1.010742,-3.54E-07,-4.89E-07,-6.13E-07,-7.24E-07,-7.86E-07,-7.50E-07,-6.90E-07
1.015625,-2.64E-07,-4.08E-07,-5.42E-07,-6.65E-07,-7.37E-07,-7.06E-07,-6.58E-07
1.020508,-1.75E-07,-3.29E-07,-4.73E-07,-6.05E-07,-6.88E-07,-6.63E-07,-6.27E-07
1.025391,-8.63E-08,-2.49E-07,-4.02E-07,-5.46E-07,-6.39E-07,-6.20E-07,-5.97E-07
1.030273,2.44E-09,-1.69E-07,-3.32E-07,-4.87E-07,-5.91E-07,-5.78E-07,-5.68E-07
1.035156,8.87E-08,-8.97E-08,-2.62E-07,-4.29E-07,-5.43E-07,-5.36E-07,-5.40E-07
1.040039,1.76E-07,-1.02E-08,-1.93E-07,-3.71E-07,-4.94E-07,-4.93E-07,-5.11E-07
1.044922,2.62E-07,6.62E-08,-1.24E-07,-3.12E-07,-4.47E-07,-4.51E-07,-4.85E-07
1.049805,3.49E-07,1.44E-07,-5.50E-08,-2.55E-07,-4.01E-07,-4.10E-07,-4.59E-07
1.054688,4.35E-07,2.19E-07,1.19E-08,-1.99E-07,-3.54E-07,-3.68E-07,-4.35E-07
1.05957,5.18E-07,2.94E-07,7.90E-08,-1.44E-07,-3.10E-07,-3.27E-07,-4.12E-07
1.064453,6.01E-07,3.68E-07,1.45E-07,-8.93E-08,-2.66E-07,-2.86E-07,-3.91E-07
1.069336,6.81E-07,4.44E-07,2.09E-07,-3.48E-08,-2.22E-07,-2.45E-07,-3.71E-07
1.074219,7.61E-07,5.17E-07,2.72E-07,1.74E-08,-1.80E-07,-2.04E-07,-3.53E-07
1.079102,8.39E-07,5.87E-07,3.35E-07,6.92E-08,-1.39E-07,-1.63E-07,-3.37E-07
1.083984,9.17E-07,6.57E-07,3.99E-07,1.17E-07,-9.98E-08,-1.22E-07,-3.22E-07
1.088867,9.93E-07,7.26E-07,4.63E-07,1.68E-07,-6.06E-08,-8.12E-08,-3.08E-07
1.09375,1.07E-06,7.94E-07,5.26E-07,2.18E-07,-2.26E-08,-4.14E-08,-2.97E-07
1.098633,1.14E-06,8.61E-07,5.87E-07,2.65E-07,1.39E-08,2.03E-10,-2.88E-07
1.103516,1.22E-06,9.29E-07,6.48E-07,3.17E-07,5.04E-08,4.20E-08,-2.80E-07
1.108398,1.30E-06,1.00E-06,7.11E-07,3.67E-07,8.80E-08,8.76E-08,-2.71E-07
1.113281,1.37E-06,1.07E-06,7.74E-07,4.16E-07,1.24E-07,1.32E-07,-2.64E-07
1.118164,1.45E-06,1.14E-06,8.36E-07,4.64E-07,1.58E-07,1.74E-07,-2.61E-07
1.123047,1.52E-06,1.21E-06,9.00E-07,5.13E-07,1.97E-07,2.19E-07,-2.57E-07
1.12793,1.60E-06,1.28E-06,9.67E-07,5.64E-07,2.35E-07,2.65E-07,-2.53E-07
1.132813,1.68E-06,1.35E-06,1.03E-06,6.15E-07,2.72E-07,3.10E-07,-2.51E-07
1.137695,1.76E-06,1.42E-06,1.10E-06,6.74E-07,3.15E-07,3.62E-07,-2.47E-07
1.142578,1.84E-06,1.49E-06,1.17E-06,7.29E-07,3.60E-07,4.13E-07,-2.41E-07
1.147461,1.92E-06,1.57E-06,1.24E-06,7.90E-07,4.04E-07,4.63E-07,-2.37E-07
1.152344,2.00E-06,1.65E-06,1.32E-06,8.49E-07,4.54E-07,5.18E-07,-2.23E-07
1.157227,2.08E-06,1.73E-06,1.39E-06,9.14E-07,5.05E-07,5.72E-07,-2.14E-07
1.162109,2.17E-06,1.80E-06,1.47E-06,9.81E-07,5.60E-07,6.28E-07,-2.05E-07
1.166992,2.24E-06,1.88E-06,1.55E-06,1.05E-06,6.17E-07,6.87E-07,-1.91E-07
1.171875,2.32E-06,1.96E-06,1.63E-06,1.12E-06,6.75E-07,7.44E-07,-1.76E-07
1.176758,2.40E-06,2.04E-06,1.71E-06,1.19E-06,7.40E-07,8.07E-07,-1.54E-07
1.181641,2.47E-06,2.11E-06,1.79E-06,1.27E-06,8.06E-07,8.70E-07,-1.33E-07
1.186523,2.53E-06,2.18E-06,1.86E-06,1.34E-06,8.74E-07,9.33E-07,-1.07E-07
1.191406,2.59E-06,2.25E-06,1.94E-06,1.42E-06,9.45E-07,1.00E-06,-7.57E-08
1.196289,2.64E-06,2.31E-06,2.01E-06,1.49E-06,1.02E-06,1.07E-06,-4.37E-08
1.201172,2.69E-06,2.36E-06,2.08E-06,1.56E-06,1.09E-06,1.13E-06,-6.10E-09
1.206055,2.72E-06,2.41E-06,2.14E-06,1.63E-06,1.16E-06,1.20E-06,3.66E-08
1.210938,2.74E-06,2.44E-06,2.19E-06,1.70E-06,1.23E-06,1.27E-06,8.44E-08
1.21582,2.75E-06,2.47E-06,2.24E-06,1.76E-06,1.31E-06,1.34E-06,1.35E-07
1.220703,2.74E-06,2.48E-06,2.27E-06,1.81E-06,1.37E-06,1.40E-06,1.91E-07
1.225586,2.72E-06,2.48E-06,2.29E-06,1.85E-06,1.43E-06,1.46E-06,2.48E-07
1.230469,2.68E-06,2.47E-06,2.30E-06,1.89E-06,1.49E-06,1.52E-06,3.13E-07
1.235352,2.63E-06,2.44E-06,2.30E-06,1.91E-06,1.54E-06,1.58E-06,3.76E-07
1.240234,2.57E-06,2.39E-06,2.28E-06,1.92E-06,1.58E-06,1.62E-06,4.43E-07
1.245117,2.49E-06,2.34E-06,2.24E-06,1.92E-06,1.60E-06,1.66E-06,5.06E-07
1.25,2.40E-06,2.26E-06,2.19E-06,1.90E-06,1.61E-06,1.68E-06,5.68E-07
1.254883,2.31E-06,2.19E-06,2.13E-06,1.86E-06,1.61E-06,1.69E-06,6.30E-07
1.259766,2.21E-06,2.10E-06,2.05E-06,1.81E-06,1.59E-06,1.69E-06,6.83E-07
1.264648,2.11E-06,2.01E-06,1.97E-06,1.75E-06,1.56E-06,1.67E-06,7.29E-07
1.269531,2.02E-06,1.92E-06,1.88E-06,1.68E-06,1.51E-06,1.63E-06,7.66E-07
1.274414,1.94E-06,1.83E-06,1.79E-06,1.60E-06,1.46E-06,1.59E-06,7.95E-07
1.279297,1.86E-06,1.75E-06,1.71E-06,1.53E-06,1.39E-06,1.53E-06,8.12E-07
1.28418,1.80E-06,1.69E-06,1.63E-06,1.45E-06,1.31E-06,1.46E-06,8.15E-07
1.289063,1.75E-06,1.63E-06,1.56E-06,1.37E-06,1.24E-06,1.38E-06,8.07E-07
1.293945,1.73E-06,1.59E-06,1.50E-06,1.31E-06,1.17E-06,1.31E-06,7.83E-07
1.298828,1.72E-06,1.57E-06,1.46E-06,1.25E-06,1.09E-06,1.24E-06,7.46E-07
